name,bftId,sector,entityType,founded,dualUse,prioritySignal,evidence,source,sourceUrl,incorporation,hq
Elbit Systems,tech-8996d0d7,Defense & National Security,Defense prime,1966,Yes,No,"Elbit Systems is a publicly traded Israeli defense electronics and systems company that builds C4I, ISR, electro-optics, electronic warfare, unmanned systems, and training products for militaries and security agencies. It is strategically important as a prime contractor and technology benchmark, but it is not a venture-style startup.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-elbit-systems",,,
AI21 Labs,tech-4ddc2b0c,AI & Data Platforms,Private startup,2017,Yes,Yes,"AI21 Labs is an Israeli enterprise AI company building foundation models, orchestration systems, and privately deployable language AI for long-context, document-heavy workflows. Its Jamba model family and Maestro agent system target enterprises that need source-grounded answers, data control, and auditable AI behavior rather than consumer chatbot novelty.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-ai21-labs",,,
Mobileye,tech-b7648bae,General Technology,Public company,1999,No,No,"Mobileye develops camera-centric driver-assistance and autonomous-driving systems for automakers, combining in-house perception software, purpose-built EyeQ chips, and safety models that let OEMs scale from basic ADAS to higher levels of automation.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-mobileye",,,
Airis Labs,tech-b779e290,Defense & National Security,Private startup,2023,Yes,Yes,"Airis Labs builds a video-first intelligence platform that turns fragmented visual data into machine-readable, mission-ready intelligence for government, public safety, border management, and emergency response.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-airis-labs",,,
ARTSYS360,tech-babd42ad,Defense & National Security,Private startup,2013,Yes,Yes,"ARTSYS360 develops compact 3D 360 micro-radar sensing platforms for perimeter security, critical infrastructure monitoring, and counter-drone use cases.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-artsys360",,,
Chariot Defense,tech-6b8d14ec,Defense & National Security,Private startup,2024,Yes,Yes,"Chariot Defense is an Israeli-rooted defense-tech startup building battlefield power systems for the tactical edge. Its platform focuses on low-signature, transportable power distribution for drones, sensing, electronic warfare, directed energy, and other expeditionary loads.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-chariot-defense",,,
D-Fend Solutions,tech-d716ec49,Defense & National Security,Private startup,2017,Yes,Yes,"D-Fend Solutions develops EnforceAir, an RF cyber counter-UAS platform that detects, identifies, locates, and, where legally authorized and technically supported, takes control of rogue drones for controlled outcomes such as safe landing rather than kinetic defeat or broad-area jamming.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-d-fend-solutions",,,
Esh-Tech Systems,tech-281b1cd1,Defense & National Security,Private startup,2023,Yes,Yes,"Esh-Tech is an Israeli deep-tech company building DroneLight, a pulsed-laser 'hard-kill' counter-drone weapon that claims to neutralize UAVs in one to two seconds at roughly a quarter of the power and cost of conventional continuous-wave laser systems.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-esh-tech-systems",,,
Kela Technologies,tech-5c899587,Defense & National Security,Private startup,2024,Yes,Yes,"Kela Technologies is an active Israeli defense-technology startup building a secure, open platform that integrates commercial and military systems into battlefield command-and-control workflows for Western defense customers.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-kela-technologies",,,
MultiKol,tech-cea97291,Defense & National Security,Private startup,2019,Yes,Yes,"MultiKol develops voice-biometric authentication and deepfake-detection software to verify identities, block impersonation, and reduce fraud in high-trust workflows.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-multikol",,,
